ID,EquipmentType,JobType,ItemNameEN,ItemNameKR,ItemDescription,ItemSprite,Tier,AttackPow,MaxHp,Defense,CriticalRate,CriticalDam,Speed,Counter
11101,Weapon,Male_Warrior,NoviceGuard,초보자의 방패,초보 전사에게 지급되는 기본형 방패,Weapon_Shield_01,A,31,,,,,,
11102,Weapon,Male_Warrior,RedGuard,진홍의 수호,불의 신전에서 제작된 방패,Weapon_Shield_04,A,28,,,,,,
11103,Weapon,Male_Warrior,VanguardAegis,선봉의 성벽,전열의 선봉에 선 자들을 위한 방패,Weapon_Shield_08,A,26,,,,,,
11104,Weapon,Male_Warrior,SentinelCrest,파수의 문장,변방의 성문을 지키던 파수병의 방패,Weapon_Shield_10,A,31,,,,,,
11105,Weapon,Male_Warrior,Doomspike,파멸의 송곳,날카로운 외곽이 특징인 공격형 방패,Weapon_Shield_11,A,45,,,,,,
11106,Weapon,Male_Warrior,ResoluteBarrier,결의의 방벽,흔들림 없이 버티는 결의를 담은 방패,Weapon_Shield_12,A,27,,,,,,
11107,Weapon,Male_Warrior,Stoneplate,석판 방패,무게는 있지만 매우 튼튼한 돌방패,Weapon_Shield_13,A,26,,,,,,
11108,Weapon,Male_Warrior,GearGuard,톱니 수호,기계문명의 유산이 남아있는 방패,Weapon_Shield_14,A,30,,,,,,
11201,Weapon,Male_Warrior,HornedGuard,뿔 달린 방패,사나운 야수의 기운이 서린 방패,Weapon_Shield_03,S,66,,,,,,
11202,Weapon,Male_Warrior,Wallmark,방벽의 흔적,견고한 방벽 같은 디자인의 방패,Weapon_Shield_05,S,93,,,,,,
11203,Weapon,Male_Warrior,ValorHorn,용맹의 뿔 방패,황소의 뿔을 본떠 제작된 방패,Weapon_Shield_07,S,79,,,,,,
11204,Weapon,Male_Warrior,RoundBastion,신앙의 수호방패,성스러운 십자가가 새겨진 방패,Weapon_Shield_09,S,73,,,,,,
11205,Weapon,Male_Warrior,CrystalGuard,수정 수호방패,마법 수정으로 강화된 방패.,Weapon_Shield_16,S,52,,,,,,
11301,Weapon,Male_Warrior,Timewheel,시간의 수레바퀴,시간 마법이 새겨진 고대의 방패,Weapon_Shield_06,SR,122,,,0.15,,,
11302,Weapon,Male_Warrior,FallingFlame,유성의 방패,하늘에서 떨어진 유성의 불씨로 만든 방패,Weapon_Shield_15,SR,115,,,,0.32,,
11401,Weapon,Male_Warrior,SigilGuard,문장의 수호자,왕국 근위대에게만 주어지는 명예의 방패,Weapon_Shield_02,SSR,175,,,0.2,0.53,,
12101,Weapon,FeMale_Warrior,BladeOfForest,숲의 칼날,숲의 정령과 교감하여 제작된 검,Weapon_Sword_03,A,48,,,,,,
12102,Weapon,FeMale_Warrior,RedBlade,붉은 칼날,피로 물든 전장을 수없이 누빈 검,Weapon_Sword_04,A,31,,,,,,
12103,Weapon,FeMale_Warrior,RoyalBlade,왕실의 칼날,왕국의 직속 기사에게만 하사되는 검,Weapon_Sword_05,A,41,,,,,,
12104,Weapon,FeMale_Warrior,MossySword,이끼 검,버려진 유적에서 오랜 세월 잠들어 있던 검,Weapon_Sword_07,A,27,,,,,,
12105,Weapon,FeMale_Warrior,NoviceSword,초보자의 검,초보 전사에게 지급되는 기본형 검,Weapon_Sword_09,A,20,,,,,,
12106,Weapon,FeMale_Warrior,FrozenSword,얼어붙은 칼날,영원의 빙하에서 채굴된 마법석으로 제작된 검,Weapon_Sword_10,A,37,,,,,,
12107,Weapon,FeMale_Warrior,BlazingEdge,불꽃의 칼날,마법사와 전사의 기술이 결합된 검,Weapon_Sword_11,A,35,,,,,,
12108,Weapon,FeMale_Warrior,SteelSword,강철의 칼날,튼튼하고 무거운 강철로 제작된 검,Weapon_Sword_14,A,45,,,,,,
12201,Weapon,FeMale_Warrior,OathOfGuardian,수호자의 맹세,정의와 명예를 지키는 자의 검,Weapon_Sword_01,S,75,,,,,,
12202,Weapon,FeMale_Warrior,ChivalrousSword,기사도 검,전통 기사단에서 계승되어 온 검 ,Weapon_Sword_02,S,80,,,,,,
12203,Weapon,FeMale_Warrior,Gladius,글라디우스,투기장에서 수백 번의 전투를 견딘 단검,Weapon_Sword_06,S,71,,,,,,
12204,Weapon,FeMale_Warrior,Flameblade,불꽃의 검,내면에 활활 타오르는 마법의 화염을 품은 검,Weapon_Sword_08,S,90,,,,,,
12205,Weapon,FeMale_Warrior,Stormblade,폭풍 검,폭풍 속에서 벼려낸 전설의 무기,Weapon_Sword_13,S,85,,,,,,
12301,Weapon,FeMale_Warrior,RoyalSword,왕실의 검,귀족 가문에서 대대로 전해지는 명검,Weapon_Sword_12,SR,131,,,0.12,,,
12302,Weapon,FeMale_Warrior,ShadowSword,그림자 검,어둠 속에서만 모습을 드러내는 검,Weapon_Sword_16,SR,125,,,,0.39,,
12401,Weapon,FeMale_Warrior,BladeOfRuin,파멸의 검,오래된 저주가 깃든 검,Weapon_Sword_15,SSR,198,,,0.23,0.52,,
13101,Weapon,SpearMan,NoviceSpear,초보자의 창,초보 창술사들에게 지급되는 기본형 창,Weapon_Spear_01,A,20,,,,,,
13102,Weapon,SpearMan,CrystalheadSpear,수정창,투명한 수정 끝이 달빛을 머금고 적을 꿰뚫는 창,Weapon_Spear_02,A,38,,,,,,
13103,Weapon,SpearMan,Bonecrusher,뼈 파쇄창,거대한 짐승을 쓰러뜨리기 위해 만들어진 무거운 창,Weapon_Spear_03,A,49,,,,,,
13104,Weapon,SpearMan,RedSpear,진홍의 창,불의 신전에서 제작된 창,Weapon_Spear_04,A,34,,,,,,
13105,Weapon,SpearMan,WardenSpear,수호자의 창,요새를 지키는 수호병들이 들던 창,Weapon_Spear_05,A,35,,,,,,
13106,Weapon,SpearMan,FrostEdge,서리날 창,날카로운 얼음의 송곳니처럼 적을 관통하는 창,Weapon_Spear_08,A,37,,,,,,
13107,Weapon,SpearMan,HunterSpear,사냥꾼의 창,오랜 사냥의 기억이 묻어 있는 창,Weapon_Spear_09,A,27,,,,,,
13108,Weapon,SpearMan,SilverSpear,은빛 창,신성한 의식에 사용되던 창,Weapon_Spear_14,A,36,,,,,,
13201,Weapon,SpearMan,WindFang,바람의 송곳니,바람에 흩날리는 나뭇잎처럼 부드럽고 날렵한 창,Weapon_Spear_07,S,80,,,,,,
13202,Weapon,SpearMan,EmberSpike,불꽃의 창,타오르는 화염의 형상을 닮은 창,Weapon_Spear_11,S,90,,,,,,
13203,Weapon,SpearMan,SourSpear,영혼의 창,죽은 자의 기억을 담고 있는 창,Weapon_Spear_12,S,82,,,,,,
13204,Weapon,SpearMan,Hawkbeak,매부리 창,매의 부리처럼 휘어진 창,Weapon_Spear_13,S,58,,,,,,
13205,Weapon,SpearMan,Venomroot,맹독의 뿌리,독초의 뿌리를 본떠 만든 창,Weapon_Spear_16,S,70,,,,,,
13301,Weapon,SpearMan,HeroSpear,영웅의 창,고대 전쟁을 끝낸 영웅이 사용한 전설 속의 창,Weapon_Spear_06,SR,115,,,,0.33,,
13302,Weapon,SpearMan,AzureSpear,푸른 창,바다의 수호자들이 사용했던 푸른 금속의 창,Weapon_Spear_10,SR,146,,,0.13,,,
13401,Weapon,SpearMan,Dragonfang,용의 송곳니창,고대 용의 이빨로 제작된 창,Weapon_Spear_15,SSR,188,,,0.22,0.52,,
14101,Weapon,DragonKnight,BlightFang,독룡의 송곳니,맹독을 품은 용의 송곳니를 형상화한 검,Weapon_DragonSword_02,A,31,,,,,,
14102,Weapon,DragonKnight,AurelionFang,황금룡의 송곳니,찬란한 금빛의 고룡이 남긴 송곳니로 만든 검,Weapon_DragonSword_03,A,27,,,,,,
14103,Weapon,DragonKnight,VerdantBloom,초록룡의 숨결,생명을 다스리는 초록룡의 숨결에서 태어난 검,Weapon_DragonSword_06,A,35,,,,,,
14104,Weapon,DragonKnight,SunscaleSword,태양비늘검,태양빛을 품은 황금룡의 비늘을 이어붙인 검,Weapon_DragonSword_07,A,39,,,,,,
14105,Weapon,DragonKnight,DarkscaleSaber,암흑비늘검,밤을 삼킨 용의 비늘로 만든 칼날. 그림자처럼 스며든다.,Weapon_DragonSword_09,A,23,,,,,,
14106,Weapon,DragonKnight,SkybornEdge,하늘룡의 날개,하늘을 가르며 내려온 비룡의 날개에서 떨어진 검,Weapon_DragonSword_10,A,34,,,,,,
14107,Weapon,DragonKnight,Dragonleaf,용의 잎,용이 마지막으로 남긴 생명의 잎사귀에서 자란 전설의 검,Weapon_DragonSword_12,A,24,,,,,,
14108,Weapon,DragonKnight,AbyssFang,심연의 송곳니,심연에서 솟아난 용의 송곳니로 만든 전설의 검,Weapon_DragonSword_13,A,46,,,,,,
14201,Weapon,DragonKnight,ObsidianSword,흑암룡의 검,깊은 땅속에서 태어난 흑암룡의 비늘을 깎아 만든 검,Weapon_DragonSword_01,S,98,,,,,,
14202,Weapon,DragonKnight,AzureFang,푸른 용의 송곳니,푸른 비늘을 지닌 고대 용의 송곳니로 만들어진 검,Weapon_DragonSword_05,S,81,,,,,,
14203,Weapon,DragonKnight,VoidWyrmFang,공허룡의 송곳니검,공허 속을 날던 용의 파편으로 만든 검,Weapon_DragonSword_08,S,72,,,,,,
14204,Weapon,DragonKnight,GoldenTalon,황금 발톱,용의 발톱을 닮은 날카로운 단검,Weapon_DragonSword_11,S,87,,,,,,
14205,Weapon,DragonKnight,IceheartSword,얼음심장의 검,얼음의 심장을 품은 용의 냉기에서 태어난 검,Weapon_DragonSword_16,S,65,,,,,,
14301,Weapon,DragonKnight,InfernoTalon,지옥화룡의 발톱,불의 군주가 남긴 발톱으로 만들어진 검,Weapon_DragonSword_04,SR,118,,,0.14,,,
14302,Weapon,DragonKnight,GoldflareSword,황금섬광검,황금룡의 섬광이 담긴 검,Weapon_DragonSword_15,SR,127,,,,0.35,,
14401,Weapon,DragonKnight,FlamehowlSword,불의 포효검,화염룡의 포효가 깃든 검,Weapon_DragonSword_14,SSR,189,,,0.21,0.51,,
15101,Weapon,Archer,NoviceBow,초보자의 활,초보 궁수들을 위한 기본형 활,Weapon_Bow_01,A,20,,,,,,
15102,Weapon,Archer,RangerBow,레인저의 활,야생을 누비는 레인저들이 애용하던 튼튼한 활,Weapon_Bow_02,A,27,,,,,,
15103,Weapon,Archer,Silverbranch,은가지 활,은빛 나뭇가지를 깎아 만든 활,Weapon_Bow_03,A,28,,,,,,
15104,Weapon,Archer,NomadBow,유목민의 활,넓은 평원을 누비던 유목민들이 사용하던 실용적인 활,Weapon_Bow_04,A,48,,,,,,
15105,Weapon,Archer,TwistingVines,덩굴 활,살아 있는 덩굴로 엮은 듯한 신비한 활,Weapon_Bow_05,A,32,,,,,,
15106,Weapon,Archer,ElvenCurve,엘프의 곡궁,엘프 장인들이 만든 우아하고 날렵한 곡선형 활,Weapon_Bow_10,A,45,,,,,,
15107,Weapon,Archer,Skyfletch,하늘화살 활,구름 위의 궁수들이 사용했다는 전설의 활,Weapon_Bow_12,A,30,,,,,,
15108,Weapon,Archer,DruidTouch,드루이드의 활,대자연과 교감하는 자들이 사용하는 영적인 활,Weapon_Bow_13,A,41,,,,,,
15201,Weapon,Archer,RoyalHuntBow,왕실 사냥용 활,금장 장식이 아름다운 고귀한 활,Weapon_Bow_06,S,70,,,,,,
15202,Weapon,Archer,Grovewind,숲바람 활,숲의 정령이 깃든 듯한 활,Weapon_Bow_07,S,55,,,,,,
15203,Weapon,Archer,PhoenixTalon,불사조의 발톱,불사조의 발톱을 본떠 만든 전설의 활,Weapon_Bow_08,S,58,,,,,,
15204,Weapon,Archer,IvoryArcher,상아궁,상아로 만든 고귀한 활,Weapon_Bow_09,S,55,,,,,,
15205,Weapon,Archer,ShadowBow,그림자 활,어둠을 꿰뚫는 화살을 발사하는 마법의 활,Weapon_Bow_11,S,53,,,,,,
15301,Weapon,Archer,GoldenHarpbow,황금 하프 활,하프처럼 곡선이 아름다운 금빛 활,Weapon_Bow_14,SR,144,,,,0.32,,
15302,Weapon,Archer,ForestGuard,숲의 수호자 활,숲을 지키는 정령병들의 활,Weapon_Bow_15,SR,134,,,0.16,,,
15401,Weapon,Archer,ArcticDraw,설풍 활,얼어붙은 북풍을 모티브로 한 활,Weapon_Bow_16,SSR,202,,,0.25,0.53,,
16101,Weapon,Priest,CelestialBeacon,천상의 봉화,하늘에서 내려온 빛으로 적을 심판하는 지팡이,Weapon_HolyStaff_01,A,35,,,,,,
16102,Weapon,Priest,SunflareRod,태양불꽃 지팡이,태양의 정령이 깃든 따스한 회복의 지팡이,Weapon_HolyStaff_02,A,41,,,,,,
16103,Weapon,Priest,GoldenTrident,황금 트라이던트,신성한 제물에 사용되던 삼지창 형태의 지팡이,Weapon_HolyStaff_04,A,29,,,,,,
16104,Weapon,Priest,NatureBlessing,자연의 축복,숲의 정령이 내려준 생명의 힘을 지닌 지팡이,Weapon_HolyStaff_05,A,27,,,,,,
16105,Weapon,Priest,CrossOfFaith,신앙의 십자가,신앙의 상징이자 간단한 회복마법 도구,Weapon_HolyStaff_06,A,38,,,,,,
16106,Weapon,Priest,GreenrootStaff,초록뿌리 지팡이,생명력과 치유력을 극대화하는 자연의 도구,Weapon_HolyStaff_08,A,21,,,,,,
16107,Weapon,Priest,HolySigil,성스러운 인장,교단의 사제들이 사용하는 정통 지팡이,Weapon_HolyStaff_13,A,46,,,,,,
16108,Weapon,Priest,GlaciusRod,얼음 파쇄 지팡이,얼음을 부수는 힘을 지닌 성속성의 냉기 지팡이,Weapon_HolyStaff_14,A,33,,,,,,
16201,Weapon,Priest,Leaflight,잎빛 지팡이,새싹처럼 부드럽지만 강한 생명력을 지닌 지팡이,Weapon_HolyStaff_15,A,28,,,,,,
16202,Weapon,Priest,FlameDevotion,헌신의 불꽃,기도 속에서 피어나는 불꽃의 지팡이,Weapon_HolyStaff_03,S,82,,,,,,
16203,Weapon,Priest,AquaSeal,물의 인장,정화의 물줄기를 뿜어내는 신비한 지팡이,Weapon_HolyStaff_07,S,73,,,,,,
16204,Weapon,Priest,OracleSphere,예언의 구슬,미래를 점치는 힘이 깃든 푸른 마법봉,Weapon_HolyStaff_09,S,94,,,,,,
16205,Weapon,Priest,OrbOfGrace,은총의 오브,하늘에서 내려온 축복이 오브에 머물러 있는 지팡이,Weapon_HolyStaff_16,S,86,,,,,,
16301,Weapon,Priest,DarkRune,어둠의 룬,어둠의 사제들이 은밀히 사용하는 지팡이,Weapon_HolyStaff_10,SR,118,,,0.12,,,
16302,Weapon,Priest,IceburstStaff,얼음폭발 지팡이,냉기의 폭풍을 일으키는 푸른 마법 지팡이,Weapon_HolyStaff_11,SR,133,,,,0.42,,
16401,Weapon,Priest,SeraphRod,세라프의 날개,천사의 날개를 본떠 하늘의 힘이 깃들어 있는 지팡이,Weapon_HolyStaff_12,SSR,168,,,0.15,0.51,,
17101,Weapon,Mage,ArcaneOrb,비전의 구체,순수한 마나를 응축한 구체가 박힌 지팡이,Weapon_Wand_01,A,24,,,,,,
17102,Weapon,Mage,Wavebind,파도술사의 지팡이,물의 정령이 깃든 파란 마법이 출렁이는 지팡이,Weapon_Wand_02,A,30,,,,,,
17103,Weapon,Mage,SpiralRoot,나선 뿌리,나무 뿌리로 만들어진 자연 마법사들의 전용 지팡이.,Weapon_Wand_05,A,33,,,,,,
17104,Weapon,Mage,EmeraldBranch,에메랄드 가지,초록빛이 감도는 마법 가지로 만든 지팡이,Weapon_Wand_07,A,19,,,,,,
17105,Weapon,Mage,Firebrand,불의 손길,마그마처럼 타오르는 불꽃이 손끝에서 일어나는 지팡이,Weapon_Wand_09,A,47,,,,,,
17106,Weapon,Mage,FlameAmberWand,불꽃 호박 지팡이,불의 정령이 잠든 호박 보석이 중심에 있는 지팡이,Weapon_Wand_12,A,42,,,,,,
17107,Weapon,Mage,SpiralwoodWand,나무곡선 지팡이,부드럽게 휘어진 나무에서 마나가 흘러나오는 지팡이,Weapon_Wand_13,A,26,,,,,,
17108,Weapon,Mage,FlameleafRod,불잎의 지팡이,불꽃 같은 잎이 흔들릴때마다 마력이 방출되는 지팡이,Weapon_Wand_15,A,38,,,,,,
17201,Weapon,Mage,SunflareRod,태양의 불꽃,태양신의 축복을 받은 빛의 지팡이,Weapon_Wand_03,S,88,,,,,,
17202,Weapon,Mage,FrostPrism,서리 결정,얼어붙은 마법이 결정화된 냉기의 지팡이,Weapon_Wand_06,S,77,,,,,,
17203,Weapon,Mage,CrimsonRubyWand,붉은 루비 지팡이,고대 마법사들이 사용하던 불의 힘이 깃든 루비 지팡이,Weapon_Wand_08,S,59,,,,,,
17204,Weapon,Mage,IceNeedleWand,얼음 송곳 지팡이,날카로운 얼음 마법의 기운이 감도는 지팡이,Weapon_Wand_14,S,94,,,,,,
17205,Weapon,Mage,Lifebloom,생명의 꽃,피어나는 생명의 기운을 간직한 자연 지팡이,Weapon_Wand_16,S,63,,,,,,
17301,Weapon,Mage,VerdantCore,생명의 숲 지팡이,고대 숲의 정령이 잠든 생명의 지팡이,Weapon_Wand_04,SR,106,,,,0.35,,
17302,Weapon,Mage,AzureCrystal,푸른 수정 지팡이,바다처럼 깊고 푸른 마력이 담긴 지팡이,Weapon_Wand_10,SR,122,,,0.13,,,
17401,Weapon,Mage,VoidWhisperer,공허의 속삭임,공허 속에서 울리는 속삭임이 들리는 지팡이,Weapon_Wand_11,SSR,162,,,0.23,0.55,,
20101,Armor,,IronVanguard,강철의 선봉대 갑옷,전장의 최전방에서 적을 막아내던 튼튼한 철 갑옷,Armor_01,A,,,26,,,,
20102,Armor,,ForestWarden,숲의 감시자 갑옷,자연과 조화를 이루는 수호자들의 경량 갑옷,Armor_02,A,,,30,,,,
20103,Armor,,CrimsonHeart,진홍의 심장 갑옷,용맹한 투사들의 불굴의 의지를 상징하는 갑옷,Armor_04,A,,,35,,,,
20104,Armor,,FlameboundMail,화염의 결속 갑옷,불 속에서도 타지 않는 마법 섬유로 만든 갑옷,Armor_05,A,,,42,,,,
20105,Armor,,BlazingHonor,불꽃의 명예 갑옷,전쟁 영웅의 용맹을 기리기 위한 전투용 갑옷,Armor_08,A,,,41,,,,
20106,Armor,,Emberguard,잿불의 수호 갑옷,불타는 산의 마물들과 싸운 병사들의 전유물,Armor_09,A,,,33,,,,
20107,Armor,,WildGrove,야생숲 갑옷,숲의 기운이 깃든 원시의 전사 갑옷,Armor_12,A,,,28,,,,
20108,Armor,,OceanGuardian,심해 수호자 갑옷,깊은 바다에서 추출한 금속으로 제작된 방어구,Armor_13,A,,,47,,,,
20201,Armor,,SentinelAegis,파수병의 방패 갑옷,국경을 지키던 성벽의 방패병들이 입던 갑옷,Armor_03,S,,,81,,,,
20202,Armor,,GlacierPlate,빙하의 판금 갑옷,얼음 마법사가 만든 견고한 방어구,Armor_06,S,,,89,,,,
20203,Armor,,DruidsMantle,드루이드의 망토 갑옷,숲의 정령들이 깃든 생명력 넘치는 갑옷,Armor_07,S,,,69,,,,
20204,Armor,,GoldenOath,황금 맹세의 갑옷,굳건한 맹세의 상징으로 제작된 갑옷,Armor_10,S,,,73,,,,
20205,Armor,,VoidsteelArmor,공허강철 갑옷,암흑 속에서 빛나는 보라색 결정이 특징인 갑옷,Armor_11,S,,,72,,,,
20301,Armor,,SunlightCrest,태양 문장의 갑옷,태양의 가호를 받은 고위 기사 전용 갑옷,Armor_14,SR,,,105,,,,0.04
20302,Armor,,VerdantScale,초록비늘 갑옷,고대 숲의 용비늘을 엮어 만든 전설 갑옷,Armor_16,SR,,1029,102,,,,
20401,Armor,,DawnlightPlate,여명의 빛 갑옷,새로운 시대를 열어갈 용사에게 주어진 갑옷,Armor_15,SSR,,1502,150,,,,0.08
30101,Accessory,,GeomancersCharm,지맥의 부적,대지의 힘을 느낄 수 있는 고대의 장신구,Accessory_03,A,,,,,0.15,,
30102,Accessory,,SkullPendant,해골 고리,죽음을 상징하는 위험한 펜던트,Accessory_04,A,,,,,0.12,,
30103,Accessory,,AzureRing,청금석 반지,청명한 보석을 가진 반지,Accessory_05,A,,,,,,1,
30104,Accessory,,GoldenSwirl,황금 나선 귀걸이,황금으로 만든 나선형 귀걸이,Accessory_09,A,,,,,0.09,,
30105,Accessory,,ScarabBrooch,스카라브 브로치,고대 사막 제국의 수호 부적 브로치,Accessory_11,A,,,,,,,0.01
30106,Accessory,,LeafEmblem,잎사귀 문장,자연의 수호자를 위한 작고 단단한 브로치,Accessory_12,A,,,,,,,0.02
30107,Accessory,,CrownOfFlame,화염의 왕관,불의 왕이 쓰던 작은 왕관,Accessory_13,A,,,,,,,0.02
30108,Accessory,,BeltOfFortitude,인내의 벨트,전사들의 생존력을 높여주는 가죽 벨트,Accessory_14,A,,,,,,,0.01
30201,Accessory,,SapphirePendant,사파이어 펜던트,맑은 정신을 유지시켜 주는 푸른 보석 목걸이,Accessory_01,S,,,,,0.22,,
30202,Accessory,,TearOfLake,호수의 눈물,신비로운 호수에서 발견된 물방울 모양 펜던트,Accessory_02,S,,,,,0.24,,
30203,Accessory,,EmeraldCircle,에메랄드의 원,자연의 정령과 연결되는 녹색의 반지,Accessory_06,S,,,,,,2,
30204,Accessory,,AmethystSignet,자수정 인장,왕실에서 사용되던 보랏빛 인장 반지,Accessory_08,S,,,,,,3,
30205,Accessory,,PhoenixFeather,불사조의 깃털,부활의 힘이 깃든 전설의 깃털,Accessory_16,S,,,,,,,0.03
30301,Accessory,,InfernoSpiral,지옥의 소용돌이,불의 정령이 깃든 강력한 반지,Accessory_07,SR,,,,,0.42,,0.05
30302,Accessory,,AquaDrops,물방울 귀걸이,물의 정령의 눈물을 결정화시켜 만든 귀걸이,Accessory_10,SR,,,,,0.35,4,
30401,Accessory,,WingsOfSky,하늘의 날개 브로치,바람의 정령이 깃든 은빛 브로치,Accessory_15,SSR,,,,,0.51,5,0.08
